Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,Person_sequence,Person_attribute,Relation,DEV NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 6,,md60-Å EÅ -MUnu,20,Male,,,,,,,,,,,25,r 12,LuÅ¡tammar-Adad,mlu-uÅ¡-tam-mar-dIÅ KUR,,,md60-Å EÅ -MUnu,,Anu-ah-ittannu,Father:24,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 7,,mli-GIÅ ,21,Male,,,,,,,,,,,26,r 13,Gimil-Anu,mÅ U-d60,,,mli-GIÅ ,,LiÅ¡ir,Witness_7,l.e. iii,Yes,"AUWE 19, 0739",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 7,,md60-Å EÅ -MEÅ -MU,22,Male,,,,,,,,,,,27,r 13,Gimil-Anu,mÅ U-d60,,,md60-Å EÅ -MEÅ -MU,,Anu-ahhe-iddin,Father:26,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 8,,md60-AD-GUR,23,Male,,,,,,,,,,,28,r 13,Hunzu,mhun-zu-u2,,,md60-AD-GUR,,Anu-ab-utir,Witness_8,l.e. i,Yes,"AUWE 19, 0773",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 8,,md60-NUMUN-MU,24,Male,,,,,,,,,,,29,r 14,Hunzu,mhun-zu-u2,,,md60-NUMUN-MU,,Anu-zer-iddin,Father:28,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 9,,md60-DINiá__,25,Male,,,,,,,,,,,30,r 14,Sin-leqi-unninni,md30-TI-ER2,,,md60-DINiá__,,Anu-uballiá__,Witness_9,b.e. i,Yes,"AUWE 19, 0404",,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 9,,md60-BAÅ¡a2-an-ni,26,Male,,,,,,,,,,,31,r 14,Sin-leqi-unninni,md30-TI-ER2,,,md60-BAÅ¡a2-an-ni,,Anu-iqiÅ¡anni,Father:30,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Witness 10,,mni-din-tu4-d60,27,Male,,,,,,,,,,,32,r 15,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,mni-din-tu4-d60,"Seal can be located due to process of elimination, even though seal and citation are damaged",Nidintu-Anu,Witness_10,b.e. iv,No,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of witness 10,,mana-GAL-d60,28,Male,,,,,,,,,,,33,r 15,AhÊ_utu,mÅ EÅ -Ê_u-u2-tu2,,,mana-GAL-d60,,Ana-rabut-Anu,Father :32,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Scribe,,mdINANA-MU-KAM2,29,Male,,,,,,,,,,,34,r 16,,,,á__upÅ¡arru,mdINANA-MU-KAM2,,IÅ¡tar-Å¡um-eriÅ¡,Scribe,,,,,,,,,,,"BiMes 24, 01"
"BRM 2, 22",077/12b/14,Unknown,,Yes,Father of scribe,,md60-SU,30,Male,,,,,,,,,,,35,r 16,,,,,md60-SU,,Anu-eriba,Father:34,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4001,,,,,,,,Ah'utu,Ancestor:14,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4003,,,,,,,,Ah'utu,Ancestor:15,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4004,,,,,,,,Ah'utu,Ancestor:16,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4005,,,,,,,,Ah'utu,Ancestor:17,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4006,,,,,,,,Ah'utu,Ancestor:18,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4007,,,,,,,,Ah'utu,Ancestor:19,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4008,,,,,,,,Ah'utu,Ancestor:20,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4009,,,,,,,,Ah'utu,Ancestor:21,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4010,,,,,,,,Ah'utu,Ancestor:22,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4011,,,,,,,,Ah'utu,Ancestor:23,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4012,,,,,,,,Ah'utu,Ancestor:24,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4013,,,,,,,,Ah'utu,Ancestor:25,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4014,,,,,,,,Ah'utu,Ancestor:26,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4015,,,,,,,,Ah'utu,Ancestor:27,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4016,,,,,,,,Ah'utu,Ancestor:28,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4017,,,,,,,,Ah'utu,Ancestor:29,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4018,,,,,,,,Ah'utu,Ancestor:30,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4019,,,,,,,,Ah'utu,Ancestor:31,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4020,,,,,,,,Ah'utu,Ancestor:32,,,,,,,,,,,"BiMes 24, 01"
,,,,,,,,,,,,,,,,,,,,4021,,,,,,,,Ah'utu,Ancestor:33,,,,,,,,,,,"BiMes 24, 01"
