Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,person_sequence,Person_attribute,relation
PTS 2318,Jan 2 659,Dedication,,City:Dilbat | Object: child,father,,Nab_-a_a-iddin,46,NameType:Akk | Gender:Male,Father:45
PTS 2318,Jan 2 659,Dedication,,City:Dilbat | Object: child,witness,,Kudurru,47,NameType:Akk | Gender:Male,Descendant:48
PTS 2318,Jan 2 659,Dedication,,City:Dilbat | Object: child,ancestor,,_ang_-Dilbat,48,NameType:Akk | Gender:Male,Ancestor:47
PTS 2318,Jan 2 659,Dedication,,City:Dilbat | Object: child,scribe,,Nab_-a___-bulli_,49,NameType:Akk | Gender:Male,Descendant:50
PTS 2318,Jan 2 659,Dedication,,City:Dilbat | Object: child,ancestor,,Iddin-Papsukkal,50,NameType:Akk | Gender:Male,Ancestor:49
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,place name,,Iqbi-Ura_,51,NameType:Akk | Gender:Male,Son:52
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,place name,,Kidinnu,52,NameType:Akk | Gender:Male,Father:51
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,neighbor,,N__iru,53,NameType:Akk | Gender:Male,Son:54
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,father,,Nab_-a_a-_re_,54,NameType:Akk | Gender:Male,Father:53
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,neighbor,,B_l-uballi_,55,NameType:Akk | Gender:Male,Descendant:56
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,Rab_ssu,56,NameType:Akk | Gender:Male,Ancestor:55
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,buyer,,LŠbŠ_i,57,NameType:Akk | Gender:Male,Son:58
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,father,,N_dinu,58,NameType:Akk | Gender:Male,Father:57
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,seller,,Nab_-u_ab_i,59,NameType:Akk | Gender:Male,Son:61
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,seller,,_ama_-iddin,60,NameType:Akk | Gender:Male,Son:61
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,father,,A___a,61,NameType:Akk | Gender:Male,Father:59 | Father:60
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,house,,[Ä]-_re_,62,NameType:Akk | Gender:Male,Ancestor
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,B_l-__ir,63,NameType:Akk | Gender:Male,Descendant:64
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,_ang_-Dilbat,64,NameType:Akk | Gender:Male,Ancestor:63
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,B_l-r_manni,65,NameType:Akk | Gender:Male,Descendant:66
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,Epp__-ili,66,NameType:Akk | Gender:Male,Ancestor:65
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,R_m_tu,67,NameType:Akk | Gender:Male,Descendant:68
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,_ang_-Dilbat,68,NameType:Akk | Gender:Male,Ancestor:67
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,E__ru,69,NameType:Akk | Gender:Male,Descendant:70
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,_ang_-Dilbat,70,NameType:Akk | Gender:Male,Ancestor:69
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,Nab_-u_allim,71,NameType:Akk | Gender:Male,Descendat:72
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,B_'iru,72,NameType:Akk | Gender:Male,Ancestor:71
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,witness,,Marduk-n__ir,73,NameType:Akk | Gender:Male,Descendant:74
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,Sîn-imitt_,74,NameType:Akk | Gender:Male,Ancestor:73
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,scribe,,Nab_-kudurr_-u_ur,75,NameType:Akk | Gender:Male,Descendant:76
BM 46542,Dec 21 653,Sale,,City:Dilbat | Object: land,ancestor,,_ang_-Dilbat,76,NameType:Akk | Gender:Male,Ancestor:75
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,place name,,Iqbi-Ura_,77,NameType:Akk | Gender:Male,Descendant:78
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,place name,,R_'_-alp_,78,NameType:Akk | Gender:Male,Ancestor:77
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,buyer | neighbor,,LŠbŠ_i,79,NameType:Akk | Gender:Male,Son:81
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,father,,N_dinu,81,NameType:Akk | Gender:Male,Father:79
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,neighbor,,Ura_-u_allim,82,NameType:Akk | Gender:Male,Son:83
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,father,,Nab_-er_ba,83,NameType:Akk | Gender:Male,Father:82
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,place name,,Iqbi-Ura_,84,NameType:Akk | Gender:Male,Son:85
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,place name,,Kidinnu,85,NameType:Akk | Gender:Male,Father:84
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,seller,,Nab_-k__ir,86,NameType:Akk | Gender:Male,Son:88
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,seller,,Ura_-n__ir,87,NameType:Akk | Gender:Male,Son:88
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land, father,,B_l-upa__ir,88,NameType:Akk | Gender:Male,Father:86 | Father:87
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,house,,Rab_ssu,90,NameType:Akk | Gender:Male,
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,witness,,Nab_-a___-bulli_,91,NameType:Akk | Gender:Male,Descendant:92
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,ancestor,,_ang_-Dilbat,92,NameType:Akk | Gender:Male,Ancestor:91
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,witness,,R_m_tu,93,NameType:Akk | Gender:Male,Son:94
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land, father,,_ul_a,94,NameType:Akk | Gender:Male,Father:93
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,witness,,Nab_-z_ra-uk_n,95,NameType:Akk | Gender:Male,Son:96
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land, father,,Nab_-_uma-iddin,96,NameType:Akk | Gender:Male,Father:95
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,witness,,Kin_,97,NameType:Akk | Gender:Male,Son:98
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land, father,,Ura_-iddin,98,NameType:Akk | Gender:Male,Father:97
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,witness,,Ura_-iddin,99,NameType:Akk | Gender:Male,Son:100
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land, father,,R_m_tu,100,NameType:Akk | Gender:Male,Father:99
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,scribe,,Nab_-n_din-a_i,101,NameType:Akk | Gender:Male,Descendant:102
MLC 1739,Apr 15 648,Sale,,City:Borsippa | Object: land,ancestor,,_ang_-Dilbat,102,NameType:Akk | Gender:Male,Ancestor:101
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,lender,,LŠbŠ_i,103,NameType:Akk | Gender:Male,Son:104
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver, father,,N_dinu,104,NameType:Akk | Gender:Male,Father:103
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,borrower,,Qarr_d-ili,105,NameType:Akk | Gender:Male,
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,borrower,,Ura_-ibni,106,NameType:Akk | Gender:Male,Son:107
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver, father,,Qarr_d-ili,107,NameType:Akk | Gender:Male,Father:106
BM 134973,May 28 648,Loan,,City:Borsippa | Object: orchard,,,Re__ya,108,NameType:Akk | Gender:Male,
BM 134973,May 28 648,Loan,,City:Borsippa | Object: orchard,neighbor,,Ka[Ä],109,NameType:Akk | Gender:Male,
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,witness,,Nab_-u_allim,110,NameType:Akk | Gender:Male,Son:111
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver, father,,A___tu,111,NameType:Akk | Gender:Male,Father:110
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,witness,,R_m_tu,112,NameType:Akk | Gender:Male,Son:113
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver, father,,Ibn_ya,113,NameType:Akk | Gender:Male,Father:112
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,witness,,Kun_,114,NameType:Akk | Gender:Male,Son:115
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,ancestor,,Ea-dip_r-il_ni,115,NameType:Akk | Gender:Male,Ancestor:114
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,witness,,B_l-a___-er_ba,116,NameType:Akk | Gender:Male,Son:117
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver, father,,LŠbŠ_i-il_,117,NameType:Akk | Gender:Male,Father:116
