"No","No","Tattannu","077/12b/14","Yes","mdum-qi2-d60","BRM 2, 22","","Male","","","","","","","","","","","","23","r 11","Hunzu","mhun-zu-u2","","","mdum-qi2-d60","","Dumqi-Anu","Father:22","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","mba-la-ṭu","BRM 2, 22","Anu-ah-ittannu","Male","","","","","","","","","","","","24","r 12","Luštammar-Adad","mlu-uš-tam-mar-dIŠKUR","","","mba-la-ṭu","","Balaṭu","Witness_6","t.e. i","Yes","AUWE 19, 0247","","","","","","","","BiMes 24, 01"
"No","No","Balaṭu","077/12b/14","Yes","md60-ŠEŠ-MUnu","BRM 2, 22","","Male","","","","","","","","","","","","25","r 12","Luštammar-Adad","mlu-uš-tam-mar-dIŠKUR","","","md60-ŠEŠ-MUnu","","Anu-ah-ittannu","Father:24","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","mli-GIŠ","BRM 2, 22","Anu-ahhe-iddin","Male","","","","","","","","","","","","26","r 13","Gimil-Anu","mŠU-d60","","","mli-GIŠ","","Lišir","Witness_7","l.e. iii","Yes","AUWE 19, 0739","","","","","","","","BiMes 24, 01"
"No","No","Lišir","077/12b/14","Yes","md60-ŠEŠ-MEŠ-MU","BRM 2, 22","","Male","","","","","","","","","","","","27","r 13","Gimil-Anu","mŠU-d60","","","md60-ŠEŠ-MEŠ-MU","","Anu-ahhe-iddin","Father:26","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","md60-AD-GUR","BRM 2, 22","Anu-zer-iddin","Male","","","","","","","","","","","","28","r 13","Hunzu","mhun-zu-u2","","","md60-AD-GUR","","Anu-ab-utir","Witness_8","l.e. i","Yes","AUWE 19, 0773","","","","","","","","BiMes 24, 01"
"No","No","Anu-ab-utir","077/12b/14","Yes","md60-NUMUN-MU","BRM 2, 22","","Male","","","","","","","","","","","","29","r 14","Hunzu","mhun-zu-u2","","","md60-NUMUN-MU","","Anu-zer-iddin","Father:28","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","md60-DINiṭ","BRM 2, 22","Anu-iqišanni","Male","","","","","","","","","","","","30","r 14","Sin-leqi-unninni","md30-TI-ER2","","","md60-DINiṭ","","Anu-uballiṭ","Witness_9","b.e. i","Yes","AUWE 19, 0404","","","","","","","","BiMes 24, 01"
"No","No","Anu-uballiṭ","077/12b/14","Yes","md60-BAša2-an-ni","BRM 2, 22","","Male","","","","","","","","","","","","31","r 14","Sin-leqi-unninni","md30-TI-ER2","","","md60-BAša2-an-ni","","Anu-iqišanni","Father:30","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","mni-din-tu4-d60","BRM 2, 22","Ana-rabut-Anu","Male","","","","","","","","","","","","32","r 15","Ahʾutu","mŠEŠ-ʾu-u2-tu2","","","mni-din-tu4-d60","Seal can be located due to process of elimination, even though seal and citation are damaged","Nidintu-Anu","Witness_10","b.e. iv","No","","","","","","","","","BiMes 24, 01"
"No","No","Nidintu-Anu","077/12b/14","Yes","mana-GAL-d60","BRM 2, 22","","Male","","","","","","","","","","","","33","r 15","Ahʾutu","mŠEŠ-ʾu-u2-tu2","","","mana-GAL-d60","","Ana-rabut-Anu","Father :32","","","","","","","","","","","BiMes 24, 01"
"No","No","","077/12b/14","Yes","mdINANA-MU-KAM2","BRM 2, 22","Anu-eriba","Male","","","","","","","","","","","","34","r 16","","","","ṭupšarru","mdINANA-MU-KAM2","","Ištar-šum-eriš","Scribe","","","","","","","","","","","BiMes 24, 01"
"No","No","Ištar-šum-eriš","077/12b/14","Yes","md60-SU","BRM 2, 22","","Male","","","","","","","","","","","","35","r 16","","","","","md60-SU","","Anu-eriba","Father:34","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4001","","","","","","","","Ah'utu","Ancestor:14","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4003","","","","","","","","Ah'utu","Ancestor:15","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4004","","","","","","","","Ah'utu","Ancestor:16","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4005","","","","","","","","Ah'utu","Ancestor:17","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4006","","","","","","","","Ah'utu","Ancestor:18","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4007","","","","","","","","Ah'utu","Ancestor:19","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4008","","","","","","","","Ah'utu","Ancestor:20","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4009","","","","","","","","Ah'utu","Ancestor:21","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4010","","","","","","","","Ah'utu","Ancestor:22","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4011","","","","","","","","Ah'utu","Ancestor:23","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4012","","","","","","","","Ah'utu","Ancestor:24","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4013","","","","","","","","Ah'utu","Ancestor:25","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4014","","","","","","","","Ah'utu","Ancestor:26","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4015","","","","","","","","Ah'utu","Ancestor:27","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4016","","","","","","","","Ah'utu","Ancestor:28","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4017","","","","","","","","Ah'utu","Ancestor:29","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4018","","","","","","","","Ah'utu","Ancestor:30","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4019","","","","","","","","Ah'utu","Ancestor:31","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4020","","","","","","","","Ah'utu","Ancestor:32","","","","","","","","","","","BiMes 24, 01"
"","","","","","","","","","","","","","","","","","","","","4021","","","","","","","","Ah'utu","Ancestor:33","","","","","","","","","","","BiMes 24, 01"
